ID,Food,Score,Block,Model,Prompt
6694154a46060b3c49b2d6fd,Pad Thai,3,Block 12,Model 1.5,Short
6694154a46060b3c49b2d6fd,Jambalaya,3,Block 14,Model 2.1,Short
6694154a46060b3c49b2d6fd,Gluten Free Chocolate Cake,7,Block 19,Model 1.5,Long
5b26da1934ffd00001b45d8d,Veggie Burger,0,Block 3,Model 1.5,Long
5b26da1934ffd00001b45d8d,Shrimp Scampi,8,Block 6,Model 2.1,Short
5b26da1934ffd00001b45d8d,Pad Thai,6,Block 12,Model 1.5,Short
5b26da1934ffd00001b45d8d,Jambalaya,5,Block 15,Model 1.5,Long
5b26da1934ffd00001b45d8d,Gluten Free Chocolate Cake,6,Block 18,Model 2.1,Short
66a153a1429f219de6c65953,Veggie Burger,9,Block 4,Model 1.5,Short
66a153a1429f219de6c65953,Shrimp Scampi,7,Block 5,Model 2.1,Long
66a153a1429f219de6c65953,Pad Thai,3,Block 11,Model 1.5,Long
66a153a1429f219de6c65953,Jambalaya,4,Block 15,Model 1.5,Long
66a153a1429f219de6c65953,Gluten Free Chocolate Cake,7,Block 19,Model 1.5,Long
6738859853261cbc85ad411c,Veggie Burger,6,Block 2,Model 2.1,Short
6738859853261cbc85ad411c,Shrimp Scampi,9,Block 8,Model 1.5,Short
6738859853261cbc85ad411c,Pad Thai,8,Block 9,Model 2.1,Long
6738859853261cbc85ad411c,Jambalaya,8,Block 13,Model 2.1,Long
6738859853261cbc85ad411c,Gluten Free Chocolate Cake,7,Block 17,Model 2.1,Long
67388328bf765f823ea2844d,Veggie Burger,3,Block 1,Model 2.1,Long
67388328bf765f823ea2844d,Shrimp Scampi,4,Block 6,Model 2.1,Short
67388328bf765f823ea2844d,Pad Thai,6,Block 9,Model 2.1,Long
67388328bf765f823ea2844d,Jambalaya,2,Block 13,Model 2.1,Long
67388328bf765f823ea2844d,Gluten Free Chocolate Cake,4,Block 17,Model 2.1,Long
66fbf4af6d1c61e9435fe2bb,Veggie Burger,1,Block 4,Model 1.5,Short
66fbf4af6d1c61e9435fe2bb,Shrimp Scampi,8,Block 5,Model 2.1,Long
66fbf4af6d1c61e9435fe2bb,Pad Thai,8,Block 12,Model 1.5,Short
66fbf4af6d1c61e9435fe2bb,Jambalaya,4,Block 15,Model 1.5,Long
66fbf4af6d1c61e9435fe2bb,Gluten Free Chocolate Cake,7,Block 19,Model 1.5,Long
650bc1957a3b13ceed5254bd,Veggie Burger,7,Block 1,Model 2.1,Long
650bc1957a3b13ceed5254bd,Shrimp Scampi,8,Block 6,Model 2.1,Short
650bc1957a3b13ceed5254bd,Pad Thai,10,Block 9,Model 2.1,Long
650bc1957a3b13ceed5254bd,Jambalaya,5,Block 15,Model 1.5,Long
650bc1957a3b13ceed5254bd,Gluten Free Chocolate Cake,9,Block 18,Model 2.1,Short
6737eef0d0ce05cea7aea309,Veggie Burger,2,Block 1,Model 2.1,Long
6737eef0d0ce05cea7aea309,Shrimp Scampi,7,Block 8,Model 1.5,Short
6737eef0d0ce05cea7aea309,Pad Thai,4,Block 9,Model 2.1,Long
6737eef0d0ce05cea7aea309,Jambalaya,9,Block 15,Model 1.5,Long
6737eef0d0ce05cea7aea309,Gluten Free Chocolate Cake,9,Block 19,Model 1.5,Long
6163ef501a62937a722c26f6,Veggie Burger,5,Block 3,Model 1.5,Long
6163ef501a62937a722c26f6,Shrimp Scampi,9,Block 6,Model 2.1,Short
6163ef501a62937a722c26f6,Pad Thai,10,Block 9,Model 2.1,Long
6163ef501a62937a722c26f6,Jambalaya,7,Block 13,Model 2.1,Long
6163ef501a62937a722c26f6,Gluten Free Chocolate Cake,10,Block 18,Model 2.1,Short
615ebee41627a65c85ccb4b6,Veggie Burger,6,Block 4,Model 1.5,Short
615ebee41627a65c85ccb4b6,Shrimp Scampi,8,Block 5,Model 2.1,Long
615ebee41627a65c85ccb4b6,Pad Thai,5,Block 12,Model 1.5,Short
615ebee41627a65c85ccb4b6,Jambalaya,6,Block 14,Model 2.1,Short
615ebee41627a65c85ccb4b6,Gluten Free Chocolate Cake,7,Block 18,Model 2.1,Short
611579e748178388d8a183e4,Veggie Burger,3,Block 2,Model 2.1,Short
611579e748178388d8a183e4,Shrimp Scampi,3,Block 7,Model 1.5,Long
611579e748178388d8a183e4,Pad Thai,6,Block 9,Model 2.1,Long
611579e748178388d8a183e4,Jambalaya,2,Block 15,Model 1.5,Long
611579e748178388d8a183e4,Gluten Free Chocolate Cake,1,Block 18,Model 2.1,Short
5ea6da5ad773ee03ba8cefc5,Veggie Burger,8,Block 2,Model 2.1,Short
5ea6da5ad773ee03ba8cefc5,Shrimp Scampi,2,Block 7,Model 1.5,Long
5ea6da5ad773ee03ba8cefc5,Pad Thai,0,Block 11,Model 1.5,Long
5ea6da5ad773ee03ba8cefc5,Jambalaya,3,Block 13,Model 2.1,Long
5ea6da5ad773ee03ba8cefc5,Gluten Free Chocolate Cake,4,Block 19,Model 1.5,Long
673825929ac1107c2fc05054,Veggie Burger,1,Block 4,Model 1.5,Short
673825929ac1107c2fc05054,Shrimp Scampi,7,Block 7,Model 1.5,Long
673825929ac1107c2fc05054,Pad Thai,7,Block 11,Model 1.5,Long
673825929ac1107c2fc05054,Jambalaya,10,Block 16,Model 1.5,Short
673825929ac1107c2fc05054,Gluten Free Chocolate Cake,6,Block 18,Model 2.1,Short
6738161f6e1f795c9caa9487,Veggie Burger,6,Block 3,Model 1.5,Long
6738161f6e1f795c9caa9487,Shrimp Scampi,4,Block 8,Model 1.5,Short
6738161f6e1f795c9caa9487,Pad Thai,8,Block 11,Model 1.5,Long
6738161f6e1f795c9caa9487,Jambalaya,6,Block 14,Model 2.1,Short
6738161f6e1f795c9caa9487,Gluten Free Chocolate Cake,2,Block 18,Model 2.1,Short
5e8fd165f3d8212cd90e0d4d,Veggie Burger,2,Block 3,Model 1.5,Long
5e8fd165f3d8212cd90e0d4d,Shrimp Scampi,5,Block 8,Model 1.5,Short
5e8fd165f3d8212cd90e0d4d,Pad Thai,3,Block 12,Model 1.5,Short
5e8fd165f3d8212cd90e0d4d,Jambalaya,8,Block 13,Model 2.1,Long
5e8fd165f3d8212cd90e0d4d,Gluten Free Chocolate Cake,4,Block 17,Model 2.1,Long
5f9c78df95b8ea139eb50832,Veggie Burger,6,Block 3,Model 1.5,Long
5f9c78df95b8ea139eb50832,Shrimp Scampi,8,Block 5,Model 2.1,Long
5f9c78df95b8ea139eb50832,Pad Thai,4,Block 12,Model 1.5,Short
5f9c78df95b8ea139eb50832,Jambalaya,4,Block 15,Model 1.5,Long
5f9c78df95b8ea139eb50832,Gluten Free Chocolate Cake,9,Block 19,Model 1.5,Long
667c981c30aebf82d16ec3a6,Veggie Burger,3,Block 1,Model 2.1,Long
667c981c30aebf82d16ec3a6,Shrimp Scampi,7,Block 5,Model 2.1,Long
667c981c30aebf82d16ec3a6,Pad Thai,7,Block 12,Model 1.5,Short
667c981c30aebf82d16ec3a6,Jambalaya,4,Block 15,Model 1.5,Long
667c981c30aebf82d16ec3a6,Gluten Free Chocolate Cake,7,Block 19,Model 1.5,Long
66887c2d8cb2f152df22cab2,Veggie Burger,5,Block 4,Model 1.5,Short
66887c2d8cb2f152df22cab2,Shrimp Scampi,9,Block 5,Model 2.1,Long
66887c2d8cb2f152df22cab2,Pad Thai,7,Block 12,Model 1.5,Short
66887c2d8cb2f152df22cab2,Jambalaya,3,Block 13,Model 2.1,Long
66887c2d8cb2f152df22cab2,Gluten Free Chocolate Cake,5,Block 20,Model 1.5,Short
6710f886573a02245184e33a,Veggie Burger,4,Block 2,Model 2.1,Short
6710f886573a02245184e33a,Shrimp Scampi,3,Block 6,Model 2.1,Short
6710f886573a02245184e33a,Pad Thai,8,Block 9,Model 2.1,Long
6710f886573a02245184e33a,Jambalaya,4,Block 15,Model 1.5,Long
6710f886573a02245184e33a,Gluten Free Chocolate Cake,10,Block 18,Model 2.1,Short
5c7c2ec06c42650001af30a4,Veggie Burger,5,Block 3,Model 1.5,Long
5c7c2ec06c42650001af30a4,Shrimp Scampi,3,Block 6,Model 2.1,Short
5c7c2ec06c42650001af30a4,Pad Thai,3,Block 11,Model 1.5,Long
5c7c2ec06c42650001af30a4,Jambalaya,5,Block 13,Model 2.1,Long
5c7c2ec06c42650001af30a4,Gluten Free Chocolate Cake,5,Block 18,Model 2.1,Short
672e61297523a24bbebbdb3b,Veggie Burger,10,Block 4,Model 1.5,Short
672e61297523a24bbebbdb3b,Shrimp Scampi,10,Block 5,Model 2.1,Long
672e61297523a24bbebbdb3b,Pad Thai,10,Block 10,Model 2.1,Short
672e61297523a24bbebbdb3b,Jambalaya,9,Block 14,Model 2.1,Short
672e61297523a24bbebbdb3b,Gluten Free Chocolate Cake,10,Block 18,Model 2.1,Short
60f1ce3399bde1bc649825e9,Veggie Burger,6,Block 1,Model 2.1,Long
60f1ce3399bde1bc649825e9,Shrimp Scampi,6,Block 6,Model 2.1,Short
60f1ce3399bde1bc649825e9,Pad Thai,7,Block 10,Model 2.1,Short
60f1ce3399bde1bc649825e9,Jambalaya,10,Block 16,Model 1.5,Short
60f1ce3399bde1bc649825e9,Gluten Free Chocolate Cake,8,Block 19,Model 1.5,Long
673920b4f35f39ca89525373,Veggie Burger,1,Block 4,Model 1.5,Short
673920b4f35f39ca89525373,Shrimp Scampi,4,Block 7,Model 1.5,Long
673920b4f35f39ca89525373,Pad Thai,8,Block 9,Model 2.1,Long
673920b4f35f39ca89525373,Jambalaya,2,Block 15,Model 1.5,Long
673920b4f35f39ca89525373,Gluten Free Chocolate Cake,10,Block 19,Model 1.5,Long
65f37fc729c84befb001836b,Veggie Burger,5,Block 2,Model 2.1,Short
65f37fc729c84befb001836b,Shrimp Scampi,8,Block 8,Model 1.5,Short
65f37fc729c84befb001836b,Pad Thai,9,Block 11,Model 1.5,Long
65f37fc729c84befb001836b,Jambalaya,6,Block 13,Model 2.1,Long
65f37fc729c84befb001836b,Gluten Free Chocolate Cake,3,Block 19,Model 1.5,Long
66a0fbde4b5b428f0eaed32b,Veggie Burger,3,Block 1,Model 2.1,Long
66a0fbde4b5b428f0eaed32b,Shrimp Scampi,1,Block 7,Model 1.5,Long
66a0fbde4b5b428f0eaed32b,Pad Thai,5,Block 10,Model 2.1,Short
66a0fbde4b5b428f0eaed32b,Jambalaya,1,Block 13,Model 2.1,Long
66a0fbde4b5b428f0eaed32b,Gluten Free Chocolate Cake,0,Block 20,Model 1.5,Short
669a7b3078fcf7a344c0945f,Veggie Burger,8,Block 3,Model 1.5,Long
669a7b3078fcf7a344c0945f,Shrimp Scampi,4,Block 8,Model 1.5,Short
669a7b3078fcf7a344c0945f,Pad Thai,9,Block 12,Model 1.5,Short
669a7b3078fcf7a344c0945f,Jambalaya,3,Block 15,Model 1.5,Long
669a7b3078fcf7a344c0945f,Gluten Free Chocolate Cake,6,Block 20,Model 1.5,Short
60ea51eac2af2f70e6ab5e11,Veggie Burger,4,Block 1,Model 2.1,Long
60ea51eac2af2f70e6ab5e11,Shrimp Scampi,3,Block 6,Model 2.1,Short
60ea51eac2af2f70e6ab5e11,Pad Thai,2,Block 12,Model 1.5,Short
60ea51eac2af2f70e6ab5e11,Jambalaya,6,Block 14,Model 2.1,Short
60ea51eac2af2f70e6ab5e11,Gluten Free Chocolate Cake,4,Block 17,Model 2.1,Long
6682ac7c4eb83615d1a7a82b,Veggie Burger,8,Block 3,Model 1.5,Long
6682ac7c4eb83615d1a7a82b,Shrimp Scampi,8,Block 8,Model 1.5,Short
6682ac7c4eb83615d1a7a82b,Pad Thai,9,Block 9,Model 2.1,Long
6682ac7c4eb83615d1a7a82b,Jambalaya,4,Block 15,Model 1.5,Long
6682ac7c4eb83615d1a7a82b,Gluten Free Chocolate Cake,8,Block 18,Model 2.1,Short
664b54ceed9c1cfaa9ea773b,Veggie Burger,3,Block 3,Model 1.5,Long
664b54ceed9c1cfaa9ea773b,Shrimp Scampi,7,Block 7,Model 1.5,Long
664b54ceed9c1cfaa9ea773b,Pad Thai,8,Block 11,Model 1.5,Long
664b54ceed9c1cfaa9ea773b,Jambalaya,8,Block 14,Model 2.1,Short
664b54ceed9c1cfaa9ea773b,Gluten Free Chocolate Cake,2,Block 20,Model 1.5,Short
673687046e4ca92465952b02,Veggie Burger,3,Block 1,Model 2.1,Long
673687046e4ca92465952b02,Shrimp Scampi,9,Block 8,Model 1.5,Short
673687046e4ca92465952b02,Pad Thai,8,Block 11,Model 1.5,Long
673687046e4ca92465952b02,Jambalaya,6,Block 16,Model 1.5,Short
673687046e4ca92465952b02,Gluten Free Chocolate Cake,9,Block 20,Model 1.5,Short
6699580d4529e69a0ee0b361,Veggie Burger,5,Block 3,Model 1.5,Long
6699580d4529e69a0ee0b361,Shrimp Scampi,7,Block 7,Model 1.5,Long
6699580d4529e69a0ee0b361,Pad Thai,9,Block 11,Model 1.5,Long
6699580d4529e69a0ee0b361,Jambalaya,8,Block 14,Model 2.1,Short
6699580d4529e69a0ee0b361,Gluten Free Chocolate Cake,3,Block 20,Model 1.5,Short
6605a6bb67641c5976dcc9b3,Veggie Burger,1,Block 4,Model 1.5,Short
6605a6bb67641c5976dcc9b3,Shrimp Scampi,2,Block 6,Model 2.1,Short
6605a6bb67641c5976dcc9b3,Pad Thai,4,Block 10,Model 2.1,Short
6605a6bb67641c5976dcc9b3,Jambalaya,2,Block 16,Model 1.5,Short
6605a6bb67641c5976dcc9b3,Gluten Free Chocolate Cake,4,Block 18,Model 2.1,Short
66a988823a6baf1ffdf50957,Veggie Burger,2,Block 4,Model 1.5,Short
66a988823a6baf1ffdf50957,Shrimp Scampi,5,Block 5,Model 2.1,Long
66a988823a6baf1ffdf50957,Pad Thai,8,Block 12,Model 1.5,Short
66a988823a6baf1ffdf50957,Jambalaya,10,Block 16,Model 1.5,Short
66a988823a6baf1ffdf50957,Gluten Free Chocolate Cake,7,Block 19,Model 1.5,Long
61430bcb6d7e2ec5993eeaf4,Veggie Burger,3,Block 3,Model 1.5,Long
61430bcb6d7e2ec5993eeaf4,Shrimp Scampi,2,Block 7,Model 1.5,Long
61430bcb6d7e2ec5993eeaf4,Pad Thai,1,Block 11,Model 1.5,Long
61430bcb6d7e2ec5993eeaf4,Jambalaya,3,Block 13,Model 2.1,Long
61430bcb6d7e2ec5993eeaf4,Gluten Free Chocolate Cake,0,Block 17,Model 2.1,Long
66c021f5b68a78b5c6563113,Veggie Burger,8,Block 2,Model 2.1,Short
66c021f5b68a78b5c6563113,Shrimp Scampi,7,Block 6,Model 2.1,Short
66c021f5b68a78b5c6563113,Pad Thai,5,Block 12,Model 1.5,Short
66c021f5b68a78b5c6563113,Jambalaya,4,Block 14,Model 2.1,Short
66c021f5b68a78b5c6563113,Gluten Free Chocolate Cake,3,Block 18,Model 2.1,Short
6569e7496d89590fa75b8975,Veggie Burger,6,Block 2,Model 2.1,Short
6569e7496d89590fa75b8975,Shrimp Scampi,9,Block 6,Model 2.1,Short
6569e7496d89590fa75b8975,Pad Thai,7,Block 11,Model 1.5,Long
6569e7496d89590fa75b8975,Jambalaya,10,Block 16,Model 1.5,Short
6569e7496d89590fa75b8975,Gluten Free Chocolate Cake,3,Block 17,Model 2.1,Long
672568f5783b6bc448cdc88b,Veggie Burger,2,Block 2,Model 2.1,Short
672568f5783b6bc448cdc88b,Shrimp Scampi,1,Block 5,Model 2.1,Long
672568f5783b6bc448cdc88b,Pad Thai,8,Block 11,Model 1.5,Long
672568f5783b6bc448cdc88b,Jambalaya,0,Block 14,Model 2.1,Short
672568f5783b6bc448cdc88b,Gluten Free Chocolate Cake,6,Block 19,Model 1.5,Long
6723bfba414323733bab9d5d,Veggie Burger,5,Block 4,Model 1.5,Short
6723bfba414323733bab9d5d,Shrimp Scampi,7,Block 5,Model 2.1,Long
6723bfba414323733bab9d5d,Pad Thai,6,Block 11,Model 1.5,Long
6723bfba414323733bab9d5d,Jambalaya,6,Block 16,Model 1.5,Short
6723bfba414323733bab9d5d,Gluten Free Chocolate Cake,3,Block 17,Model 2.1,Long
61673440a1a06ca419b4e691,Veggie Burger,4,Block 2,Model 2.1,Short
61673440a1a06ca419b4e691,Shrimp Scampi,7,Block 5,Model 2.1,Long
61673440a1a06ca419b4e691,Pad Thai,7,Block 9,Model 2.1,Long
